id;name;iss_organization;iss_date;exp_date;credential_id;credential_url
1;Configuration vortals;Synchronised Brand Tuna;2021-04-09T17:59:41;2021-04-08T23:30:38;circuit Drives;application digital
2;solid Handmade;Belgium Morocco Licensed;2021-04-08T22:52:06;2021-04-09T12:29:33;Berkshire;Colon matrix card
3;definition Brook Kids;Guam microchip calculate;2021-04-09T17:17:42;2021-04-09T04:27:10;South;generating Berkshire
4;Serbia orange;Accounts Intelligent plum;2021-04-09T04:35:07;2021-04-09T15:03:49;Market executive hack;Global
5;Chair grow;Account Money Malagasy;2021-04-09T18:06:49;2021-04-09T16:39:43;synergize Handmade Unbranded;Awesome users South
6;Cloned connecting;synergistic Industrial Future;2021-04-09T05:36:52;2021-04-09T00:05:44;Account pink brand;Games
7;mint TCP fault-tolerant;cross-media XSS;2021-04-09T05:11:39;2021-04-09T13:28:38;payment Avon orange;Intelligent
8;Loan Account navigating;generating;2021-04-09T16:28:41;2021-04-08T18:49:11;Metal transmit;generate Camp
9;Cambridgeshire capacitor;mobile;2021-04-09T09:12:18;2021-04-09T09:02:38;Bahamas Principal bandwidth;ADP Developer Buckinghamshire
10;aggregate;Avon Architect;2021-04-09T04:24:37;2021-04-09T06:50:10;Berkshire firewall Account;Nevada Frozen Cross-platform
