id;name;website;industry;company_size;company_type;logo_url;tagline
1;Isle;benchmark;Loan payment;59510;GOVERNMENT_AGENCY;Health drive withdrawal;Representative
2;teal reboot invoice;Analyst schemas Electronics;Research Automotive explicit;70836;PUBLIC_COMPANY;Configuration;Greece Australian
3;Technician Road;Buckinghamshire SCSI Peso;architecture Awesome;67692;GOVERNMENT_AGENCY;tan Computer Hat;Southern middleware
4;encompassing magnetic Grass-roots;Shoes Investment Extensions;Car;39551;SELF_EMPLOYED;magnetic SCSI generating;definition Computer
5;quantify;interactive local;Sausages Azerbaijanian;35159;PARTNERSHIP;firewall Seamless withdrawal;Card Central solution
6;AGP viral;unleash Buckinghamshire;Account;67705;PRIVATE_HELD;transitional;mobile
7;Isle interface;Executive;Berkshire Toys;7083;SELF_EMPLOYED;Buckinghamshire navigate;Avon
8;Awesome Refined Personal;network Soap invoice;Riel Shoes Dale;37514;PUBLIC_COMPANY;Tunisian green streamline;Tasty responsive
9;Generic content-based;generate Account;copying Uzbekistan purple;19926;PUBLIC_COMPANY;contingency web;deposit program Gorgeous
10;Bedfordshire killer input;GB;Music Gorgeous;88734;GOVERNMENT_AGENCY;Fish;digital Squares
