id;content;created_at;deleted_at
1;Solutions Wooden;2021-05-19T16:31:18;2021-05-20T01:50:14
2;Savings International;2021-05-20T14:03:42;2021-05-19T16:34:34
3;Quality-focused index FTP;2021-05-19T19:12:27;2021-05-20T11:35:46
4;Fish Computer;2021-05-20T06:57:15;2021-05-20T00:19:52
5;bricks-and-clicks;2021-05-19T15:49:02;2021-05-20T01:16:10
6;sensor;2021-05-19T16:15:53;2021-05-20T11:56:48
7;Implementation Nakfa;2021-05-19T15:50:25;2021-05-20T13:34:57
8;cultivate Industrial convergence;2021-05-19T19:19:18;2021-05-20T02:49:02
9;Infrastructure Avon;2021-05-19T16:19:52;2021-05-20T05:08:51
10;Nebraska Ergonomic;2021-05-19T19:08:33;2021-05-20T06:43:03
