id;content;visionable;created_at;updated_at
1;Singapore Mexico;FRIENDS;2021-05-24T00:09:15;2021-05-23T01:44:32
2;Specialist world-class;PRIVATE;2021-05-23T16:57:27;2021-05-23T22:14:34
3;1080p solutions;FRIENDS;2021-05-23T22:45:52;2021-05-23T10:30:00
4;next-generation Pataca;PRIVATE;2021-05-23T10:00:49;2021-05-23T11:08:47
5;Multi-layered synthesizing;FRIENDS;2021-05-23T08:20:14;2021-05-23T19:44:03
6;Fully-configurable Designer;PRIVATE;2021-05-23T07:28:33;2021-05-23T14:19:59
7;compress;PRIVATE;2021-05-23T18:06:07;2021-05-23T16:18:37
8;Illinois enterprise;PUBLIC;2021-05-23T16:27:13;2021-05-23T02:26:51
9;Costa Shoes;PUBLIC;2021-05-23T20:16:51;2021-05-23T10:44:43
10;withdrawal Sleek Netherlands;PRIVATE;2021-05-23T19:04:41;2021-05-23T20:49:10
