id;title;publisher;description;publication_date;url
1;reboot;Avon Beauty Avenue;cultivate;2021-04-09T10:01:30;http://lottie.name
2;model;Cliff;turquoise Interactions Mississippi;2021-04-09T04:25:17;https://korbin.org
3;connecting Keyboard;Principal Borders Afghani;Bacon;2021-04-09T16:31:15;http://bartholome.info
4;reinvent;Salad Circle Soft;24/7 online;2021-04-08T23:48:49;http://avis.biz
5;proactive;circuit experiences e-commerce;overriding Macedonia;2021-04-08T19:35:36;http://woodrow.name
6;Kwanza;24/7 Liaison mobile;web-readiness applications Books;2021-04-09T17:19:56;http://brooke.org
7;wireless Kong leverage;Lake system;Auto transmitting;2021-04-09T00:40:56;https://fidel.biz
8;Lira mobile infomediaries;mint;multi-byte systematic Credit;2021-04-09T11:59:19;http://devyn.com
9;Cheese;cohesive feed;Cheese Cambridgeshire;2021-04-09T15:05:04;https://noble.name
10;matrices client-server Berkshire;Managed synergy Future;Movies Phased;2021-04-09T01:58:32;http://aletha.com
